Time,Mem,CPU,Labels,Annotations
10:44:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:44:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:45:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:45:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:45:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:46:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:46:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:46:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:47:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:47:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:47:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:48:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:48:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:48:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:49:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:49:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:49:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:50:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:50:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:50:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:51:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:51:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:51:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:52:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:52:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
