Date,Time,Pid,Address,Permission,Offset,Device,Inode,Pathname
2022-01-31,20:21:01,7389,2b65aef63000-2b65af163000,---p,0000a000,fd:00,539688,['/usr/lib64/libnuma.so.1.0.0']
2022-01-31,20:21:01,7389,2b65af163000-2b65af164000,r--p,0000a000,fd:00,539688,['/usr/lib64/libnuma.so.1.0.0']
2022-01-31,20:21:01,7389,2b65af164000-2b65af165000,rw-p,0000b000,fd:00,539688,['/usr/lib64/libnuma.so.1.0.0']
2022-01-31,20:21:01,7389,2b65af165000-2b65af16e000,r-xp,00000000,fd:00,3590,['/usr/lib64/libltdl.so.7.3.0']
2022-01-31,20:21:01,7389,2b65af16e000-2b65af36d000,---p,00009000,fd:00,3590,['/usr/lib64/libltdl.so.7.3.0']
2022-01-31,20:21:01,7389,2b65af36d000-2b65af36e000,r--p,00008000,fd:00,3590,['/usr/lib64/libltdl.so.7.3.0']
2022-01-31,20:21:01,7389,2b65af36e000-2b65af36f000,rw-p,00009000,fd:00,3590,['/usr/lib64/libltdl.so.7.3.0']
2022-01-31,20:21:01,7389,2b65af36f000-2b65af38d000,r-xp,00000000,fd:00,59698,['/usr/lib64/libaudit.so.1.0.0']
2022-01-31,20:21:01,7389,2b65af38d000-2b65af58c000,---p,0001e000,fd:00,59698,['/usr/lib64/libaudit.so.1.0.0']
2022-01-31,20:21:01,7389,2b65af58c000-2b65af58d000,r--p,0001d000,fd:00,59698,['/usr/lib64/libaudit.so.1.0.0']
2022-01-31,20:21:01,7389,2b65af58d000-2b65af58e000,rw-p,0001e000,fd:00,59698,['/usr/lib64/libaudit.so.1.0.0']
2022-01-31,20:21:01,7389,2b65af58e000-2b65af598000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7389,2b65af598000-2b65af59c000,r-xp,00000000,fd:00,59696,['/usr/lib64/libcap-ng.so.0.0.0']
2022-01-31,20:21:01,7389,2b65af59c000-2b65af79c000,---p,00004000,fd:00,59696,['/usr/lib64/libcap-ng.so.0.0.0']
2022-01-31,20:21:01,7389,2b65af79c000-2b65af79d000,r--p,00004000,fd:00,59696,['/usr/lib64/libcap-ng.so.0.0.0']
